#market=CL,last=92.96,open=92.70
market,date,dow,close,poc,vah,val,vol,delta,high,low
CL,09/08,Mar,89.04,87.57,88.50,87.17,115470,-634,89.31,87.14
CL,09/09,Mie,91.96,91.32,91.73,90.99,108568,-1780,92.14,90.47
CL,09/10,Jue,98.02,97.00,98.37,95.58,160626,-114,98.38,93.89
CL,09/11,Vie,95.96,95.40,95.57,94.49,115108,2228,96.10,93.80
CL,09/14,Lun,97.09,96.81,98.45,96.05,155764,-5588,99.83,95.85
CL,09/15,Mar,100.99,99.96,101.77,99.29,136866,2874,102.07,97.89
CL,09/16,Mie,97.26,97.75,98.18,96.85,110953,-519,99.38,96.29
CL,09/17,Jue,96.56,97.32,97.72,96.26,82051,3687,97.73,95.59
CL,09/18,Vie,95.64,95.91,97.25,95.40,94174,-1730,98.01,95.39
CL,09/21,Lun,92.96,92.99,93.06,92.85,3346,112,93.12,92.58
