#market=ES,last=7804.75,open=7778.62
market,date,dow,close,poc,vah,val,vol,delta,high,low
ES,09/14,Lun,7692.81,7693.00,7703.00,7665.00,675572,4030,7719.75,7662.25
ES,09/15,Mar,7657.00,7657.25,7659.00,7649.00,828970,-14428,7687.00,7643.50
ES,09/16,Mie,7622.25,7680.00,7698.25,7623.25,1192647,-389,7699.00,7575.00
ES,09/17,Jue,7707.25,7708.75,7711.75,7694.25,895017,-475,7716.25,7680.50
ES,09/18,Vie,7712.44,7712.50,7717.75,7689.75,967714,-284,7718.25,7675.00
ES,09/21,Lun,7833.25,7835.75,7847.00,7795.25,1038128,-5564,7847.25,7758.25
ES,09/22,Mar,7831.19,7832.00,7839.00,7826.75,947515,6561,7848.50,7822.25
ES,09/23,Mie,7773.94,7771.25,7788.75,7762.75,1283605,11299,7826.25,7758.75
ES,09/24,Jue,7765.44,7770.00,7781.00,7748.25,1317257,4179,7783.50,7725.25
ES,09/25,Vie,7804.75,7803.25,7813.00,7779.25,1295858,15120,7814.75,7752.75
