#market=GC,last=4320.50,open=4313.70
market,date,dow,close,poc,vah,val,vol,delta,high,low
GC,09/14,Lun,4337.50,4352.00,4358.50,4319.80,61534,-140,4358.90,4303.70
GC,09/15,Mar,4334.10,4335.00,4339.20,4323.90,51244,590,4350.80,4313.00
GC,09/16,Mie,4299.80,4388.00,4402.50,4315.60,128042,-2766,4413.10,4273.30
GC,09/17,Jue,4381.70,4408.00,4410.60,4396.50,50270,-974,4420.90,4381.40
GC,09/18,Vie,4419.30,4392.50,4419.90,4381.00,49200,1666,4435.20,4381.00
GC,09/21,Lun,4378.70,4388.00,4393.60,4377.90,55206,-338,4402.50,4360.30
GC,09/22,Mar,4397.50,4374.00,4387.50,4351.90,58621,-993,4409.60,4351.80
GC,09/23,Mie,4321.20,4320.00,4327.70,4316.60,62343,203,4350.60,4310.70
GC,09/24,Jue,4300.80,4310.00,4312.60,4293.50,62459,-677,4324.30,4279.50
GC,09/25,Vie,4323.10,4329.00,4330.20,4310.40,58657,1607,4336.00,4289.20
