#market=NG,last=3.01,open=3.00
market,date,dow,close,poc,vah,val,vol,delta,high,low
NG,09/08,Mar,3.04,3.06,3.07,3.02,80223,2627,3.09,3.00
NG,09/09,Mie,2.94,2.96,2.99,2.94,66413,989,3.03,2.94
NG,09/10,Jue,2.97,2.92,2.96,2.91,59208,292,2.98,2.89
NG,09/11,Vie,2.96,2.96,2.97,2.94,37922,124,2.98,2.94
NG,09/14,Lun,3.01,3.03,3.04,3.02,48285,-1369,3.04,2.99
NG,09/15,Mar,3.07,3.05,3.07,3.05,37573,-273,3.09,3.04
NG,09/16,Mie,3.03,3.03,3.06,3.02,47048,-496,3.10,3.02
NG,09/17,Jue,3.00,3.06,3.08,3.03,66041,-2605,3.10,3.00
NG,09/18,Vie,3.03,3.03,3.05,3.03,29817,-553,3.06,3.02
NG,09/21,Lun,3.01,3.00,3.01,3.00,12691,225,3.03,2.99
