#market=NQ,last=30921.75,open=30819.00
market,date,dow,close,poc,vah,val,vol,delta,high,low
NQ,09/14,Lun,29475.75,29450.00,29604.50,29307.75,256888,3646,29604.50,29167.75
NQ,09/15,Mar,29270.50,29250.00,29310.50,29215.00,278258,5962,29453.50,29207.50
NQ,09/16,Mie,29244.50,29460.00,29546.50,29264.75,424626,-2534,29549.75,29053.00
NQ,09/17,Jue,29715.00,29740.00,29770.00,29684.50,334825,-4849,29793.25,29605.75
NQ,09/18,Vie,29967.25,29730.00,29828.25,29693.75,359503,-5663,29993.25,29659.25
NQ,09/21,Lun,30777.50,30784.25,30862.75,30500.75,360131,4281,30862.75,30216.50
NQ,09/22,Mar,31004.50,30900.00,30984.75,30888.00,357060,1570,31065.50,30763.50
NQ,09/23,Mie,30764.00,30740.00,30780.75,30657.00,426433,4907,31013.00,30642.75
NQ,09/24,Jue,30666.75,30740.00,30819.25,30581.00,494138,3148,30827.50,30493.25
NQ,09/25,Vie,30898.50,30912.00,30938.00,30804.00,423820,3730,30951.50,30684.00
